video_id,gloss,handshape,ext_finger,palm_ori,location,movement,contact,two_handed
12327,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
12338,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
05730,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
12326,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
05729,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05731,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
65167,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
12320,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
05749,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05742,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05741,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05739,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05750,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05740,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05732,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05734,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05727,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
05743,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
09850,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
09854,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
05733,before,hamflathand,hamextfingerl,hampalmu,hamchest,hammover,none,hamplus
65328,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
24956,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
09849,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
09848,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
24960,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24961,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
69345,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
09869,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
24955,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
09851,chair,hamfinger23,hamextfingerd,hampalmd,hamneutralspace,hammoved,none,hamsymmlr
24941,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24962,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
65824,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24946,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24952,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24943,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24954,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
24947,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
11313,clothes,hamflathand,hamextfingerl,hampalmu,hamchest,hammoveu,hamtouch,hamsymmlr
24940,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
11330,clothes,hamflathand,hamextfingerl,hampalmu,hamchest,hammoveu,hamtouch,hamsymmlr
24973,go,hamfinger2,hamextfingeru,hampalmd,hamneutralspace,hammoveo,none,hamsymmlr
63227,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
11309,clothes,hamflathand,hamextfingerl,hampalmu,hamchest,hammoveu,hamtouch,hamsymmlr
69534,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
11310,clothes,hamflathand,hamextfingerl,hampalmu,hamchest,hammoveu,hamtouch,hamsymmlr
63228,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
11311,clothes,hamflathand,hamextfingerl,hampalmu,hamchest,hammoveu,hamtouch,hamsymmlr
63226,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
63229,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
63242,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
66779,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
63236,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
66778,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
63230,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
63237,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
08917,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08918,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
63231,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
08924,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08929,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
63225,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
08921,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
65298,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08916,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08920,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08919,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
65299,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
08925,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
63232,who,hamfinger2,hamextfingeru,hampalml,hamlips,hamcircleo,none,none
65300,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
65415,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13648,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13631,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13647,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
08915,candy,hamfinger2,hamextfingeru,hampalml,hamcheek,hamtwisting,hamtouch,none
13632,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13633,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13641,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13642,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13634,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13640,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13635,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
14883,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14885,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
13630,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
13646,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
14884,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14886,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14903,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
13636,cousin,hamcee12,hamextfingeru,hampalml,hamear,hamnodding,none,none
65445,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14894,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14882,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14893,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14887,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
14888,deaf,hamfinger2,hamextfingeru,hampalmd,hamear,none,hamtouch,none
21870,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21883,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21878,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21890,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21891,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21871,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21872,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21869,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
21874,fine,hamflathand,hamextfingerl,hampalml,hamchest,none,hamtouch,none
27207,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
69364,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27221,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27206,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27209,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27208,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27213,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
65890,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27214,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27215,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
65891,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
27216,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
65889,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
38527,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
27217,help,hamfist,hamextfingeru,hampalml,hamchest,hammoveu,hamtouch,hamplus
38532,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38530,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38525,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
69411,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38533,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38544,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38534,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
57936,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57949,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57948,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
66183,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
57937,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
38529,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
38524,no,hamfinger23,hamextfingeru,hampalmd,hamchest,none,hamclose,none
57940,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57941,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57939,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57953,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57934,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57935,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
66606,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
62160,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
66607,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57947,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
57942,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
62163,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
57933,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
66743,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62170,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62175,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62159,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62164,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
57943,thin,hampinky,hamextfingeru,hampalmd,hamchest,hammoveu,none,hamsymmlr
66742,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62169,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
62168,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
64211,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
62158,walk,hamflathand,hamextfingerd,hampalmd,hamneutralspace,hammoveu,none,hamsymmlr
64219,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64212,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
66818,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
66816,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64210,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64218,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64224,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64209,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
69546,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64284,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64213,year,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamcircleo,none,hamsymmlr
64292,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64287,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64291,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64293,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64283,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
66820,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64280,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64288,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64281,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
64300,yes,hamfist,hamextfingeru,hampalmd,hamneutralspace,hamnodding,none,none
01991,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
02003,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
01992,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
65043,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
01987,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
69206,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
06477,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
06476,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
69236,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
01986,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
06473,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
06478,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
65200,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
06472,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
01988,all,hamflathand,hamextfingeru,hampalmu,hamchest,hamcircleo,none,hamsymmlr
06474,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
13197,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
06471,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
13200,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13198,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13213,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
65403,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
69281,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13216,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13217,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13199,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13196,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
06486,black,hamfinger2,hamextfingerl,hampalmd,hamforehead,hammover,none,none
65402,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
21943,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
21944,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
13201,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13208,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13203,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13202,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
13209,cool,hamflathand,hamextfingeru,hampalmd,hamchest,hamtwisting,none,hamsymmlr
21950,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
21949,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
21942,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
21951,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
21945,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
65721,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
28110,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
21941,finish,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,none,hamsymmlr
28111,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
69368,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28115,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28125,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28109,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28116,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28108,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
28112,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
69389,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33266,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33273,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
28107,hot,hamceeopen,hamextfingeru,hampalmu,hamlips,hammoved,none,none
33268,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33274,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33267,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33269,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
33270,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
34825,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
33285,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
34826,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
33286,like,hampinch12open,hamextfingeru,hampalmu,hamchest,none,hamtouch,none
34830,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
34824,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
34823,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
34831,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
34832,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
69396,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
34827,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
36936,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
36930,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
69402,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
36937,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
34839,many,hamflathand,hamextfingeru,hampalmu,hamneutralspace,hammoveu,none,hamsymmlr
36931,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
36932,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
36946,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
36933,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
66147,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
38999,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
66146,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
39000,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
36929,mother,hamflathand,hamextfingeru,hampalml,hamchin,none,hamtouch,none
69413,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
38997,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
38994,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
40117,orange,hamfist,hamextfingeru,hampalmu,hamchin,none,hamtouch,none
38990,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
69422,orange,hamfist,hamextfingeru,hampalmu,hamchin,none,hamtouch,none
38991,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
39006,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
38995,now,hamceeopen,hamextfingerd,hampalmu,hamchest,hammoved,none,hamsymmlr
40115,orange,hamfist,hamextfingeru,hampalmu,hamchin,none,hamtouch,none
40116,orange,hamfist,hamextfingeru,hampalmu,hamchin,none,hamtouch,none
40121,orange,hamfist,hamextfingeru,hampalmu,hamchin,none,hamtouch,none
